id,c1_x,c1_y,c1_z,c2_x,c2_y,c2_z,c3_x,c3_y,c3_z,c4_x,c4_y,c4_z
120,-0.375,0.325,0.0,-0.325,0.325,0.0,-0.325,0.275,0.0,-0.375,0.275,0.0
119,-0.275,0.325,0.0,-0.225,0.325,0.0,-0.225,0.275,0.0,-0.275,0.275,0.0
118,-0.175,0.325,0.0,-0.125,0.325,0.0,-0.125,0.275,0.0,-0.175,0.275,0.0
117,-0.075,0.325,0.0,-0.025,0.325,0.0,-0.025,0.275,0.0,-0.075,0.275,0.0
116,0.025,0.325,0.0,0.075,0.325,0.0,0.075,0.275,0.0,0.025,0.275,0.0
115,0.125,0.325,0.0,0.175,0.325,0.0,0.175,0.275,0.0,0.125,0.275,0.0
114,0.225,0.325,0.0,0.275,0.325,0.0,0.275,0.275,0.0,0.225,0.275,0.0
113,0.325,0.325,0.0,0.375,0.325,0.0,0.375,0.275,0.0,0.325,0.275,0.0
121,-0.375,0.225,0.0,-0.325,0.225,0.0,-0.325,0.175,0.0,-0.375,0.175,0.0
112,0.325,0.225,0.0,0.375,0.225,0.0,0.375,0.175,0.0,0.325,0.175,0.0
122,-0.375,0.125,0.0,-0.325,0.125,0.0,-0.325,0.075,0.0,-0.375,0.075,0.0
111,0.325,0.125,0.0,0.375,0.125,0.0,0.375,0.075,0.0,0.325,0.075,0.0
123,-0.375,0.025,0.0,-0.325,0.025,0.0,-0.325,-0.025,0.0,-0.375,-0.025,0.0
110,0.325,0.025,0.0,0.375,0.025,0.0,0.375,-0.025,0.0,0.325,-0.025,0.0
124,-0.375,-0.075,0.0,-0.325,-0.075,0.0,-0.325,-0.125,0.0,-0.375,-0.125,0.0
109,0.325,-0.075,0.0,0.375,-0.075,0.0,0.375,-0.125,0.0,0.325,-0.125,0.0
125,-0.375,-0.175,0.0,-0.325,-0.175,0.0,-0.325,-0.225,0.0,-0.375,-0.225,0.0
108,0.325,-0.175,0.0,0.375,-0.175,0.0,0.375,-0.225,0.0,0.325,-0.225,0.0
100,-0.375,-0.275,0.0,-0.325,-0.275,0.0,-0.325,-0.325,0.0,-0.375,-0.325,0.0
101,-0.275,-0.275,0.0,-0.225,-0.275,0.0,-0.225,-0.325,0.0,-0.275,-0.325,0.0
102,-0.175,-0.275,0.0,-0.125,-0.275,0.0,-0.125,-0.325,0.0,-0.175,-0.325,0.0
103,-0.075,-0.275,0.0,-0.025,-0.275,0.0,-0.025,-0.325,0.0,-0.075,-0.325,0.0
104,0.025,-0.275,0.0,0.075,-0.275,0.0,0.075,-0.325,0.0,0.025,-0.325,0.0
105,0.125,-0.275,0.0,0.175,-0.275,0.0,0.175,-0.325,0.0,0.125,-0.325,0.0
106,0.225,-0.275,0.0,0.275,-0.275,0.0,0.275,-0.325,0.0,0.225,-0.325,0.0
107,0.325,-0.275,0.0,0.375,-0.275,0.0,0.375,-0.325,0.0,0.325,-0.325,0.0
